台番,G数,BB,RB,合成,BB率,RB率
508,2442,6,11,1/144,1/407,1/222
509,2520,9,8,1/148,1/280,1/315
510,3469,20,5,1/139,1/173,1/694
511,1807,5,5,1/181,1/361,1/361
512,3924,19,14,1/119,1/207,1/280
513,1091,3,3,1/182,1/364,1/364
514,307,0,0,-,-,-
515,5109,33,16,1/104,1/155,1/319
516,5978,33,18,1/117,1/181,1/332
517,479,1,2,1/160,1/479,1/240
518,6073,22,21,1/141,1/276,1/289
519,2364,9,5,1/169,1/263,1/473
520,1958,4,6,1/196,1/490,1/326
521,3916,16,12,1/140,1/245,1/326
522,4858,15,19,1/143,1/324,1/256
523,715,0,1,1/715,-,1/715
524,5218,27,13,1/130,1/193,1/401
525,1634,7,3,1/163,1/233,1/545
526,3901,17,11,1/139,1/229,1/355
527,394,0,0,-,-,-
528,867,2,2,1/217,1/434,1/434
529,5058,28,10,1/133,1/181,1/506
530,504,0,2,1/252,-,1/252
531,6686,26,27,1/126,1/257,1/248
532,1019,1,2,1/340,1/1019,1/510
533,1371,2,5,1/196,1/686,1/274
平均,2833,12,9,1/140,1/242,1/333
